Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2014;2;2014-05-31;Contrat de plus d'un mois;CDI;207563;239312
2014;3;2014-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;541538;322082
2014;3;2014-07-31;Contrat de plus d'un mois;CDI;227994;246737
2014;3;2014-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;209558;300146
2014;3;2014-08-31;Contrat de plus d'un mois;CDI;179099;242258
2014;3;2014-09-30;Contrat de plus d'un mois;CDI;393598;250515
2014;4;2014-11-30;Contrat de plus d'un mois;CDI;231688;245193
2015;1;2015-03-31;Contrat de plus d'un mois;CDI;243103;247381
2015;2;2015-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;273955;328058
2015;2;2015-06-30;Contrat de plus d'un mois;CDI;243232;254889
2015;3;2015-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;550338;336420
2015;3;2015-07-31;Contrat de plus d'un mois;CDI;236002;259023
2015;3;2015-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;251338;341342
2015;3;2015-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;589353;325357
2015;3;2015-09-30;Contrat de plus d'un mois;CDI;386721;249776
2016;1;2016-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;284339;356928
2016;1;2016-03-31;Contrat de plus d'un mois;CDI;256265;269259
2016;2;2016-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;311177;338379
2016;2;2016-04-30;Contrat de plus d'un mois;CDI;265911;268641
2016;2;2016-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;389042;343711
2016;2;2016-06-30;Contrat de plus d'un mois;CDI;251382;270963
2016;3;2016-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;562379;345805
2016;3;2016-09-30;Contrat de plus d'un mois;CDI;419717;276523
2016;4;2016-10-31;Contrat de plus d'un mois;CDI;332962;281197
2017;1;2017-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;223002;358579
2017;1;2017-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;288700;359428
2017;2;2017-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;332247;371624
2017;2;2017-05-31;Contrat de plus d'un mois;CDI;270750;308631
2017;2;2017-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;404227;370129
2017;2;2017-06-30;Contrat de plus d'un mois;CDI;290269;324018
2017;3;2017-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;601260;366384
2017;3;2017-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;635079;356068
2017;4;2017-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;356452;357755
2017;4;2017-10-31;Contrat de plus d'un mois;CDI;395975;326933
2017;4;2017-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;306017;355447
2017;4;2017-11-30;Contrat de plus d'un mois;CDI;324288;329153
2018;1;2018-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;223264;359567
2018;2;2018-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;314592;370842
2018;2;2018-05-31;Contrat de plus d'un mois;CDI;285911;339307
2018;2;2018-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;397711;357895
2018;3;2018-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;612295;359690
2018;3;2018-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;262936;361152
2018;3;2018-09-30;Contrat de plus d'un mois;CDI;515845;342039
2018;4;2018-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;304961;354992
2018;4;2018-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241381;369445
2019;1;2019-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;349630;368877
2019;1;2019-02-28;Contrat de plus d'un mois;CDI;310860;351586
2019;2;2019-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;312661;356477
2019;2;2019-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;394218;364055
2019;2;2019-06-30;Contrat de plus d'un mois;CDI;312720;353866
2019;3;2019-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;621959;370704
2019;3;2019-07-31;Contrat de plus d'un mois;CDI;337951;354983
2019;3;2019-08-31;Contrat de plus d'un mois;CDI;262012;349474
2019;3;2019-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;717272;374118
2019;4;2019-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;344380;352889
2019;4;2019-10-31;Contrat de plus d'un mois;CDI;423400;351779
2019;4;2019-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;247360;366107
2020;1;2020-01-31;Contrat de plus d'un mois;CDI;459895;370207
2020;1;2020-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233129;369513
2020;1;2020-02-29;Contrat de plus d'un mois;CDI;333357;378706
2020;2;2020-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;158517;181217
2020;2;2020-06-30;Contrat de plus d'un mois;CDI;273513;293548
2020;3;2020-08-31;Contrat de plus d'un mois;CDI;262275;341394
2020;4;2020-11-30;Contrat de plus d'un mois;CDI;260933;258785
2021;1;2021-03-31;Contrat de plus d'un mois;CDI;313735;308763
2021;2;2021-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;360108;400021
2021;3;2021-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;320130;398720
2021;3;2021-08-31;Contrat de plus d'un mois;CDI;310237;390605
2021;4;2021-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;390359;412261
2021;4;2021-10-31;Contrat de plus d'un mois;CDI;476037;408787
2021;4;2021-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;253341;393151
2021;4;2021-12-31;Contrat de plus d'un mois;CDI;295123;407281
2022;1;2022-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;379830;401720
2022;1;2022-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;249248;403956
2022;1;2022-02-28;Contrat de plus d'un mois;CDI;364210;415743
2022;2;2022-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;346383;404118
2022;2;2022-05-31;Contrat de plus d'un mois;CDI;395235;434322
2022;3;2022-08-31;Contrat de plus d'un mois;CDI;347088;440247
2022;4;2022-10-31;Contrat de plus d'un mois;CDI;518500;433742
2022;4;2022-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;325989;385239
2022;4;2022-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;249709;401555
2000;1;2000-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;277127;324376
2000;1;2000-01-31;Contrat de plus d'un mois;CDI;279277;226695
2000;1;2000-02-29;Contrat de plus d'un mois;CDI;220985;229874
2000;2;2000-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;275935;322446
2000;2;2000-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;296683;338773
2000;3;2000-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;627534;319012
2000;4;2000-12-31;Contrat de plus d'un mois;CDI;236644;307177
2001;1;2001-03-31;Contrat de plus d'un mois;CDI;295079;290440
2001;2;2001-04-30;Contrat de plus d'un mois;CDI;290605;290300
2001;2;2001-05-31;Contrat de plus d'un mois;CDI;262069;294911
2001;2;2001-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400880;310781
2001;3;2001-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;409187;292849
2001;3;2001-09-30;Contrat de plus d'un mois;CDI;373557;274720
2001;4;2001-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;330775;305451
2001;4;2001-10-31;Contrat de plus d'un mois;CDI;359563;275155
2001;4;2001-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;251523;300035
2001;4;2001-11-30;Contrat de plus d'un mois;CDI;268791;268116
2001;4;2001-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;209687;313575
2001;4;2001-12-31;Contrat de plus d'un mois;CDI;230987;292743
2002;1;2002-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;189488;293780
2002;1;2002-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;242388;301783
2002;3;2002-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;424728;290118
2002;4;2002-11-30;Contrat de plus d'un mois;CDI;253686;262029
